start_lat,start_lon,end_lat,end_lon,color1,color2,weight
31.2110332,121.4686263,31.2131229,121.467291,orange,orange,0.99951637
31.2110332,121.4686263,31.2127374,121.467679,purple,purple,0.000475249
31.2110332,121.4686263,31.2108895,121.4686879,purple,purple,8.395506000000001e-06
31.2131229,121.467291,31.2110332,121.4686263,purple,purple,0.028842423
31.2131229,121.467291,31.22038400000001,121.4671054,purple,purple,0.00014704306
31.2131229,121.467291,31.2067524,121.4701267,orange,orange,0.97101057
31.22038400000001,121.4671054,31.2131229,121.467291,orange,orange,0.99514353
31.22038400000001,121.4671054,31.2239495,121.4670205,purple,purple,6.5016684000000005e-06
31.22038400000001,121.4671054,31.2233668,121.4671281,purple,purple,0.004849999
31.2233668,121.4671281,31.22038400000001,121.4671054,purple,purple,3.1322255e-05
31.2233668,121.4671281,31.2298394,121.4627,orange,orange,0.99956876
31.2233668,121.4671281,31.2254065,121.4658395,purple,purple,0.00039987077000000005
31.2298394,121.4627,31.2274144,121.4637541,yellow,yellow,0.6609718000000001
31.2298394,121.4627,31.2328845,121.4624972,purple,purple,0.0938566
31.2298394,121.4627,31.2233668,121.4671281,blue,blue,0.24517153
31.2328845,121.4624972,31.2298394,121.4627,orange,orange,0.99889165
31.2328845,121.4624972,31.2339061,121.4623488,purple,purple,2.0979558000000003e-05
31.2328845,121.4624972,31.2331585,121.4625716,purple,purple,0.0010873957000000001
31.2331585,121.4625716,31.2335923,121.4625246,orange,orange,0.9848549999999999
31.2331585,121.4625716,31.2328845,121.4624972,purple,purple,0.0023414784
31.2331585,121.4625716,31.2303968,121.4627396,purple,purple,0.012803488
31.2335923,121.4625246,31.2360025,121.46200729999998,purple,purple,0.025140306
31.2335923,121.4625246,31.2339061,121.4623488,purple,purple,0.018452371999999998
31.2335923,121.4625246,31.2331585,121.4625716,orange,orange,0.95640725
31.2360025,121.46200729999998,31.2335923,121.4625246,orange,orange,0.99839324
31.2360025,121.46200729999998,31.2366485,121.461815,purple,purple,7.993621999999999e-05
31.2360025,121.46200729999998,31.234900300000003,121.4622111,purple,purple,0.0015267775
31.2366485,121.461815,31.2360025,121.46200729999998,purple,purple,9.809024e-07
31.2366485,121.461815,31.2365539,121.4615485,purple,purple,0.0032961664000000002
31.2366485,121.461815,31.238724800000004,121.4606695,purple,purple,4.5383335e-06
31.2366485,121.461815,31.2372472,121.4635841,orange,orange,0.9966983
