start_lat,start_lon,end_lat,end_lon,color1,color2,weight
31.2101483,121.495336,31.2087342,121.4927874,purple,purple,2.9166465e-06
31.2101483,121.495336,31.2097875,121.4950004,purple,purple,2.8452907e-05
31.2101483,121.495336,31.2110982,121.4965206,orange,orange,0.99996865
31.2110982,121.4965206,31.2108362,121.4971538,orange,orange,0.9563874
31.2110982,121.4965206,31.2114149,121.4969762,purple,purple,0.018532915
31.2110982,121.4965206,31.2101483,121.495336,purple,purple,0.025079614
31.2114149,121.4969762,31.2110982,121.4965206,orange,orange,0.9844668
31.2114149,121.4969762,31.2108362,121.4971538,purple,purple,0.0008714171699999998
31.2114149,121.4969762,31.2115534,121.49692140000002,purple,purple,0.00015256941
31.2114149,121.4969762,31.2114598,121.4970727,purple,purple,0.0145091815
31.2114598,121.4970727,31.21018350000001,121.49755159999998,purple,purple,1.832085e-05
31.2114598,121.4970727,31.2116061,121.4970214,purple,purple,0.010878773000000001
31.2114598,121.4970727,31.2114149,121.4969762,purple,purple,3.1562397000000004e-06
31.2114598,121.4970727,31.212001500000003,121.49850259999998,purple,purple,7.1687896e-06
31.2114598,121.4970727,31.2121338,121.4983691,orange,orange,0.9890926
31.2121338,121.4983691,31.2122454,121.49824440000002,purple,purple,0.0029889427000000003
31.2121338,121.4983691,31.2128354,121.4993838,purple,purple,0.0067283707
31.2121338,121.4983691,31.212001500000003,121.49850259999998,purple,purple,0.0026108476
31.2121338,121.4983691,31.2114598,121.4970727,orange,orange,0.98767185
31.2122454,121.49824440000002,31.212912,121.49925690000002,purple,purple,9.222543e-05
31.2122454,121.49824440000002,31.2123647,121.4981055,purple,purple,1.2435167e-06
31.2122454,121.49824440000002,31.2119218,121.4976048,purple,purple,6.4342115e-05
31.2122454,121.49824440000002,31.2121338,121.4983691,orange,orange,0.99984217
31.2119218,121.4976048,31.21201,121.4973602,purple,purple,0.0020425962
31.2119218,121.4976048,31.2116061,121.4970214,orange,orange,0.9972051
31.2119218,121.4976048,31.2122454,121.49824440000002,purple,purple,0.00075229205
31.2116061,121.4970214,31.2124313,121.49662,purple,purple,0.013690217
31.2116061,121.4970214,31.2115534,121.49692140000002,purple,purple,0.010030512
31.2116061,121.4970214,31.2119218,121.4976048,purple,purple,0.022388342999999998
31.2116061,121.4970214,31.2114598,121.4970727,orange,orange,0.9538909999999999
31.2115534,121.49692140000002,31.2116061,121.4970214,orange,orange,0.9248884
31.2115534,121.49692140000002,31.2131382,121.4954983,purple,purple,0.0005766525
31.2115534,121.49692140000002,31.2114149,121.4969762,purple,purple,0.00026833604
31.2115534,121.49692140000002,31.210327000000003,121.4953136,purple,purple,0.0742666
31.2114149,121.4969762,31.2110982,121.4965206,orange,orange,0.9844668
31.2114149,121.4969762,31.2108362,121.4971538,purple,purple,0.0008714171699999998
31.2114149,121.4969762,31.2115534,121.49692140000002,purple,purple,0.00015256941
31.2114149,121.4969762,31.2114598,121.4970727,purple,purple,0.0145091815
