start_lat,start_lon,end_lat,end_lon,color1,color2,weight
31.2763608,121.5278129,31.2772802,121.5296494,purple,purple,0.0007922351
31.2763608,121.5278129,31.277695399999995,121.5268382,orange,orange,0.95313555
31.2763608,121.5278129,31.276139,121.5279716,purple,purple,0.04607223
31.276139,121.5279716,31.2763608,121.5278129,blue,blue,0.28926778
31.276139,121.5279716,31.2765716,121.52877759999998,purple,purple,0.04064904
31.276139,121.5279716,31.2759152,121.5281392,yellow,yellow,0.67008317
31.2759152,121.5281392,31.275663,121.5283064,blue,blue,0.25226020000000005
31.2759152,121.5281392,31.2768309,121.5299498,purple,purple,0.013031537
31.2759152,121.5281392,31.276139,121.5279716,yellow,yellow,0.73470825
31.275663,121.5283064,31.2761208,121.5291057,purple,purple,0.019760745
31.275663,121.5283064,31.2759152,121.5281392,orange,orange,0.9759015999999999
31.275663,121.5283064,31.2752124,121.5286087,purple,purple,0.0043376335
31.2752124,121.5286087,31.275606,121.5293893,purple,purple,0.0068614087
31.2752124,121.5286087,31.2723963,121.5312722,purple,purple,0.00015530965
31.2752124,121.5286087,31.275663,121.5283064,orange,orange,0.98606604
31.2752124,121.5286087,31.2744631,121.5271785,purple,purple,0.0069172215
31.2744631,121.5271785,31.275990000000004,121.5256571,purple,purple,0.094690524
31.2744631,121.5271785,31.2735304,121.52781840000002,orange,orange,0.90409565
31.2744631,121.5271785,31.2752124,121.5286087,purple,purple,0.0012138237
31.275990000000004,121.5256571,31.2722389,121.52841709999998,purple,purple,0.016596552
31.275990000000004,121.5256571,31.2769877,121.5244713,orange,orange,0.9833681000000001
31.275990000000004,121.5256571,31.2744631,121.5271785,purple,purple,3.4894040000000004e-05
31.275990000000004,121.5256571,31.2721597,121.5285236,purple,purple,4.5873776e-07
31.2769877,121.5244713,31.275990000000004,121.5256571,purple,purple,0.0015232795000000002
31.2769877,121.5244713,31.277125,121.5243055,purple,purple,4.4507915e-06
31.2769877,121.5244713,31.277695399999995,121.5268382,orange,orange,0.9984496999999999
31.2769877,121.5244713,31.2768888,121.5241903,purple,purple,2.2614065999999998e-05
31.277125,121.5243055,31.2780828,121.5280107,purple,purple,0.054768555
31.277125,121.5243055,31.2769919,121.5240635,purple,purple,0.0010728036
31.277125,121.5243055,31.2769877,121.5244713,orange,orange,0.9441299000000001
31.277125,121.5243055,31.2773756,121.5239859,purple,purple,2.8788676000000002e-05
31.2773756,121.5239859,31.2796057,121.5215812,purple,purple,0.024879279
31.2773756,121.5239859,31.2787411,121.522471,purple,purple,0.0020573851999999998
31.2773756,121.5239859,31.277125,121.5243055,purple,purple,9.418421e-05
31.2773756,121.5239859,31.2815676,121.5205398,orange,orange,0.9729690999999999
